title,link,year,month
"Campaign against Aids in Magh Mela","http://timesofindia.indiatimes.com//city/allahabad/Campaign-against-Aids-in-Magh-Mela/articleshow/5421198.cms",2010,1
"Special marriage website excites HIV + people","http://timesofindia.indiatimes.com//life-style/relationships/love-sex/Special-marriage-website-excites-HIV-people/articleshow/5423482.cms",2010,1
"Researchers hopeful of finding HIV cure","http://timesofindia.indiatimes.com//city/chennai/Researchers-hopeful-of-finding-HIV-cure/articleshow/5431695.cms",2010,1
"Dumped by husband, HIV+ woman seeks CM�s help","http://timesofindia.indiatimes.com//city/lucknow/Dumped-by-husband-HIV-woman-seeks-CMs-help/articleshow/5434973.cms",2010,1
"NGO distributes hearing aids","http://timesofindia.indiatimes.com//city/surat/NGO-distributes-hearing-aids/articleshow/5457949.cms",2010,1
"HIV kids need better nutrition, education","http://timesofindia.indiatimes.com//city/bengaluru/HIV-kids-need-better-nutrition-education/articleshow/5514931.cms",2010,1
"Now, a shot to prevent HIV+ getting TB","http://timesofindia.indiatimes.com//india/Now-a-shot-to-prevent-HIV-getting-TB/articleshow/5518464.cms",2010,1
"2 new HIV+ therapy centres by year-end","http://timesofindia.indiatimes.com//city/patna/2-new-HIV-therapy-centres-by-year-end/articleshow/5521267.cms",2010,2
"2 new HIV+ therapy centres by year-end","http://timesofindia.indiatimes.com//city/patna/2-new-HIV-therapy-centres-by-year-end/articleshow/5535247.cms",2010,2
"Two new HIV+ cases reported from district jail","http://timesofindia.indiatimes.com//city/varanasi/Two-new-HIV-cases-reported-from-district-jail/articleshow/5543389.cms",2010,2
"To locate husband, cops ask HIV+ woman to pay for petrol","http://timesofindia.indiatimes.com//india/To-locate-husband-cops-ask-HIV-woman-to-pay-for-petrol/articleshow/5567304.cms",2010,2
"A year later, woman told she's not HIV+","http://timesofindia.indiatimes.com//city/kolkata/A-year-later-woman-told-shes-not-HIV/articleshow/5590490.cms",2010,2
"AIDS can be contained in just five years: Scientist","http://timesofindia.indiatimes.com//home/science/AIDS-can-be-contained-in-just-five-years-Scientist/articleshow/5599561.cms",2010,2
"HIV prevalence in city has dipped: AIDS body","http://timesofindia.indiatimes.com//city/mumbai/HIV-prevalence-in-city-has-dipped-AIDS-body/articleshow/6121865.cms",2010,3
"'High time to be aware of AIDS'","http://timesofindia.indiatimes.com//city/kanpur/High-time-to-be-aware-of-AIDS/articleshow/5655165.cms",2010,3
"Giving hope to HIV +","http://timesofindia.indiatimes.com//city/kanpur/Giving-hope-to-HIV-/articleshow/5655170.cms",2010,3
"In rare op in India, HIV patient gets kidney transplant","http://timesofindia.indiatimes.com//city/mumbai/In-rare-op-in-India-HIV-patient-gets-kidney-transplant/articleshow/5669455.cms",2010,3
"Preity's team shooting for AIDS","http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/Preitys-team-shooting-for-AIDS/articleshow/5671636.cms",2010,3
"Preity's team shooting for AIDS","http://timesofindia.indiatimes.com//entertainment/hindi/bollywood/news/Preitys-team-shooting-for-AIDS/articleshow/5671636.cms",2010,3
"HIV positive man abandoned by wife; sets in-laws house on fire","http://timesofindia.indiatimes.com//city/bhubaneswar/HIV-positive-man-abandoned-by-wife-sets-in-laws-house-on-fire/articleshow/5676871.cms",2010,3
"Classrooms to get smarter with audio-visual aids","http://timesofindia.indiatimes.com//city/ludhiana/Classrooms-to-get-smarter-with-audio-visual-aids/articleshow/5687247.cms",2010,3
"Relief for HIV+ heart patients","http://timesofindia.indiatimes.com//city/bengaluru/Relief-for-HIV-heart-patients/articleshow/5699548.cms",2010,3
"Sexual abuse, HIV haunt Kolkata streetchildren","http://timesofindia.indiatimes.com//city/kolkata/Sexual-abuse-HIV-haunt-Kolkata-streetchildren/articleshow/5703784.cms",2010,3
"75 red ribbon clubs promote AIDS awareness","http://timesofindia.indiatimes.com//city/goa/75-red-ribbon-clubs-promote-AIDS-awareness/articleshow/5704451.cms",2010,3
"HIV among MSM on the rise","http://timesofindia.indiatimes.com//city/chennai/HIV-among-MSM-on-the-rise/articleshow/5709761.cms",2010,3
"Hospital for HIV+ shuts down as funds dry up","http://timesofindia.indiatimes.com//city/hubballi/Hospital-for-HIV-shuts-down-as-funds-dry-up/articleshow/5733059.cms",2010,3
"Hope for shot? Structure of HIV protein unveiled","http://timesofindia.indiatimes.com//home/science/Hope-for-shot-Structure-of-HIV-protein-unveiled/articleshow/5758543.cms",2010,4
"HIV positive Manipuri wins silver at national bodybuilding meet","http://timesofindia.indiatimes.com//sports/more-sports/others/HIV-positive-Manipuri-wins-silver-at-national-bodybuilding-meet/articleshow/5785826.cms",2010,4
